رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
1667;صلاة الليل والنهار مثنى مثنى;عبد الله بن عمر (بزيادة والنهار);رواه أحمد والخمسة وصححه ابن حبان والبخاري علقاً;صحيح
1668;الوتر ركعة من آخر الليل;عبد الله بن عمر;رواه أحمد ومسلم;صحيح
1669;أوتروا يا أهل القرآن فإن الله وتر يحب الوتر;علي بن أبي طالب;رواه أحمد والخمسة وصححه الترمذي;صحيح
1670;الوتر حق، فمن لم يوتر فليس منا، الوتر حق فمن لم يوتر فليس منا;بريدة بن الحصيب الأسلمي;رواه أحمد وأبو داود;حسن لغيره (وفي إسناده الخليل بن مرة وفيه لين)
1671;إن الله أمدكم بصلاة هي خير لكم من حمر النعم، وهي الوتر، فجعلها لكم من صلاة العشاء إلى طلوع الفجر;خارجة بن حذافة العدوي;رواه أحمد وأبو داود والترمذي وصححه الحاكم;صحيح بشواهده
1672;كان رسول الله صلى الله عليه وسلم يوتر بخمس ولا يجلس إلا في آخرها;عائشة بنت أبي بكر;رواه أحمد ومسلم والنسائي;صحيح
1673;كان رسول الله صلى الله عليه وسلم يوتر بسبع وبتسع لا يقعد إلا في آخرهن وفي الثامنة;عائشة بنت أبي بكر (في سرد السبع والتسع);رواه أحمد ومسلم وأبو داود;صحيح
1674;كان رسول الله صلى الله عليه وسلم يقرأ في الوتر بـ (سبح اسم ربك الأعلى) وفي الركعة الثانية بـ (قل يا أيها الكافرون) وفي الثالثة بـ (قل هو الله أحد);أبي بن كعب;رواه أحمد والنسائي وابن ماجه وصححه ابن حبان;صحيح
1675;أن النبي صلى الله عليه وسلم كان يقرأ في الركعة الثالثة بالمعوذتين مع قل هو الله أحد;عائشة بنت أبي بكر;رواه الترمذي وحسنه والنسائي;حسن بشواهده
1676;أن النبي صلى الله عليه وسلم كان يقنت في الوتر قبل الركوع;أبي بن كعب;رواه ابن ماجه والنسائي;صحيح
1677;علمني رسول الله صلى الله عليه وسلم كلمات أقولهن في قنوت الوتر: اللهم اهدني فيمن هديت، وعافني فيمن عافيت، وتولني فيمن توليت، وبارك لي فيما أعطيت، وقني شر ما قضيت...;الحسن بن علي بن أبي طالب;رواه أحمد والخمسة وصححه الترمذي;صحيح
1678;أن رسول الله صلى الله عليه وسلم كان يقول في آخر وتره: اللهم إني أعوذ برضاك من سخطك وبمعافاتك من عقوبتك وأعوذ بك منك لا أحصي ثناء عليك أنت كما أثنيت على نفسك;علي بن أبي طالب;رواه أحمد والخمسة وصححه الترمذي;صحيح
1679;كان رسول الله صلى الله عليه وسلم إذا سلم من الوتر قال: سبحان الملك القدوس ثلاث مرات ويمد صوته في الثالثة;أبي بن كعب;رواه أحمد والنسائي وأبو داود;صحيح
1680;اجعلوا آخر صلاتكم بالليل وتراً;عبد الله بن عمر;متفق عليه;صحيح
1681;من خاف أن لا يقوم من آخر الليل فليوتر أوله، ومن طمع أن يقوم آخره فليوتر آخر الليل فإن صلاة آخر الليل مشهودة وذلك أفضل;جابر بن عبد الله;رواه أحمد ومسلم والترمذي;صحيح
1682;لا وتران في ليلة;طلق بن علي;رواه أحمد وأبو داود والترمذي وصححه ابن حبان;صحيح
1683;أن النبي صلى الله عليه وسلم كان يصلي ركعتين بعد الوتر وهو جالس;عائشة بنت أبي بكر;رواه أحمد ومسلم وأبو داود;صحيح
1684;من نام عن الوتر أو نسيه فليصله إذا ذكره وإذا استيقظ;أبو سعيد الخدري;رواه أحمد والخمسة إلا النسائي;صحيح
1685;إن الشمس والقمر آيتان من آيات الله لا ينخسفان لموت أحد ولا لحياته، فإذا رأيتم ذلك فادعوا الله وكبروا وصلوا وتصدقوا;عائشة بنت أبي بكر;متفق عليه;صحيح
1686;خسفت الشمس في عهد رسول الله صلى الله عليه وسلم فخرج إلى المسجد فقام وكبر وصف الناس وراءه، فاقترأ قراءة طويلة ثم كبر فركع ركوعاً طويلاً ثم رفع رأسه فقال سمع الله لمن حمده ربنا ولك الحمد، ثم قام فاقترأ قراءة طويلة وهي أدنى من القراءة الأولى ثم ركع ركوعاً طويلاً وهو أدنى من الركوع الأول...;عائشة بنت أبي بكر (صفة ركوعين في ركعة);متفق عليه;صحيح
1687;جهر النبي صلى الله عليه وسلم في صلاة الخسوف بقراءته;عائشة بنت أبي بكر;رواه أحمد والبخاري ومسلم والترمذي;صحيح
1688;خسفت الشمس فصلى رسول الله صلى الله عليه وسلم بثمان ركعات في أربع سجدات;عبد الله بن عباس (رواية الركوعات الزائدة);رواه أحمد ومسلم وأبو داود;صحيح 
1689;صلى رسول الله صلى الله عليه وسلم حين خسفت الشمس ثمان ركعات وأربع سجدات;علي بن أبي طالب;رواه أحمد ومسلم;صحيح
1690;أن النبي صلى الله عليه وسلم صلى في كسوف ست ركعات وأربع سجدات;جابر بن عبد الله;رواه أحمد ومسلم وأبو داود;صحيح
1691;انكسفت الشمس على عهد رسول الله صلى الله عليه وسلم فصلى ركعتين كصلاتكم هذه ركوعاً واحداً وسجدتين في كل ركعة;النعمان بن بشير (رواية الركوع الواحد);رواه أحمد والنسائي وأبو داود وصححه ابن خزيمة;صحيح
1692;صلى النبي صلى الله عليه وسلم في كسوف ركعتين ركوعاً واحداً وسجدتين مثل صلاتكم;قبصة بن مخارق الهلالي;رواه أحمد والنسائي وأبو داود;صحيح
1693;انكسفت الشمس فقام النبي صلى الله عليه وسلم يصلي فما كاد يركع، ثم ركع فما كاد يرفع، ثم سجد فما كاد يرفع... ونفخ في سجوده وبكى ويقول رب ألم تعدني أن لا تعذبهم وهم يستغفرون؟;عبد الله بن عمرو;رواه أحمد وأبو داود والنسائي;صحيح
1694;ينادى لصلاة الكسوف: الصلاة جامعة;عبد الله بن عمرو;متفق عليه;صحيح
1695;كسفت الشمس على عهد رسول الله صلى الله عليه وسلم... فقام فصلى بالناس فأطال القيام جداً ثم ركع فأطال الركوع جداً ثم رفع فأطال القيام جداً وهو دون القيام الأول...;عبد الله بن عباس (لفظ آخر مطول);متفق عليه;صحيح
1696;إن الشمس والقمر آيتان من آيات الله فإذا رأيتم شيئاً من ذلك فافزعوا إلى ذكره ودعائه واستغفاره;أبو موسى الأشعري;متفق عليه;صحيح
1697;خرج رسول الله صلى الله عليه وسلم إلى المصلى يستسقي، وأنه لما أراد أن يدعو استقبل القبلة وحول رداءه;عبد الله بن زيد بن عاصم;متفق عليه;صحيح
1698;خرج النبي صلى الله عليه وسلم يستسقي فصلى ركعتين جهر فيهما بالقراءة وحول رداءه وجعل يساره على يمينه ويمينه على يساره;عبد الله بن زيد (رواية تفصيل الرداء);رواه أحمد ومسلم والأربعة;صحيح
1699;خرج رسول الله صلى الله عليه وسلم مستسقياً متواضعاً متبذلاً متخشعاً متضرعاً، فصلى ركعتين كما يصلي في العيد، ولم يخطب خطبتكم هذه;عبد الله بن عباس;رواه أحمد والخمسة وصححه الترمذي وابن حبان;صحيح
1700;شكا الناس إلى رسول الله صلى الله عليه وسلم قحوط المطر، فأمر بمنبر فوضع له في المصلى، ووعد الناس يوماً يخرجون فيه، فخرج حين بدا حاجب الشمس فكبر وحمد الله ثم قال: إنكم شكوتم جدب دياركم... ثم رفع يديه فلم يزل يرفع حتى رئي بياض إبطيه ثم استقبل الناس وحول رداءه...;عائشة بنت أبي بكر (حديث خطبة الاستسقاء والدعاء);رواه أبو داود والحاكم وصححه;صحيح
1701;أن النبي صلى الله عليه وسلم استسقى فقال: اللهم اسقنا غيثاً مغيثاً مريئاً مريعاً نافعاً غير ضار عاجلاً غير آجل، فأطبقت عليهم السماء;جابر بن عبد الله;رواه أبو داود بإسناد صحيح;صحيح
1702;كان النبي صلى الله عليه وسلم إذا استسقى قال: اللهم اسق عبادك وبهائمك وانشر رحمتك وأحي بلدك الميت;عبد الله بن عمرو;رواه أحمد وأبو داود;حسن بشواهده
1703;أن رجلاً دخل المسجد يوم الجمعة ورسول الله صلى الله عليه وسلم قائم يخطب فقال: يا رسول الله هلكت الأموال وانقطعت السبل فادع الله يغيثنا، فرفع يديه فقال: اللهم أغثنا اللهم أغثنا... فطلعت سحابة فمطرنا فما رأينا الشمس سبتاً، ثم دخل الرجل في الجمعة المقبلة والنبي يخطب فقال: يا رسول الله هلكت الأموال فادع الله يمسكها، فرفع يديه وقال: اللهم حوالينا ولا علينا...;أنس بن مالك (قصة الأعرابي في الاستسقاء على المنبر);متفق عليه;صحيح
1704;كان النبي صلى الله عليه وسلم لا يرفع يديه في شيء من دعائه إلا في الاستسقاء فإنه كان يرفع حتى يرى بياض إبطيه;أنس بن مالك (في شدة الرفع بالاستسقاء);متفق عليه;صحيح (والمقصود المبالغة الخاصة بالاستسقاء وإلا فقد ثبت الرفع في مواطن أخرى)
1705;رأيت رسول الله صلى الله عليه وسلم يستسقي عند أحجار الزيت رافعاً يديه ماداً هما حيال وجهه لا يجاوز بهما رأسه;عمير مولى آبي اللحم;رواه أحمد وأبو داود والنسائي;صحيح
1706;أن النبي صلى الله عليه وسلم استسقى فجعل ظهر كفيه إلى السماء;أنس بن مالك (في صفة الرفع بالاستسقاء);رواه أحمد ومسلم وأبو داود;صحيح
1707;أنه سمع النبي صلى الله عليه وسلم يقول حين رأى المطر: اللهم صيباً نافعاً;عائشة بنت أبي بكر;رواه أحمد والبخاري وابن ماجه;صحيح
1708;مطيرنا بفضل الله ورحمته، وقال صلى الله عليه وسلم: من قال مطرنا بفضل الله ورحمته فذلك مؤمن بي كافر بالكوكب...;زيد بن خالد الجهني;متفق عليه;صحيح
1709;أنه كشف عن ثوبه حتى أصابه المطر وقال: إنه حديث عهد بربه تعالى;أنس بن مالك;رواه أحمد ومسلم وأبو داود;صحيح
1710;أكثروا ذكر هاذم اللذات: الموت;أبو هريرة;رواه التِّرْمِذِيّ وحسنه والنسائي وابن ماجه;صحيح
1711;كفى بالموت واعظاً يا عمر;عمار بن ياسر (مرفوعاً وموقوفاً);رواه الطبراني والبهيقي;ضعيف (والأصح أنه موقوف أو مرسل وفيه راوٍ متروك)
1712;لا يتمنين أحدكم الموت لضر نزل به، فإن كان لا بد فاعلاً فليقل: اللهم أحيني ما كانت الحياة خيراً لي وتوفني إذا كانت الوفاة خيراً لي;أنس بن مالك;متفق عليه;صحيح
1713;لا يتمنى أحدكم الموت إما محسناً فلعله يزداد، وإما مسيئاً فلعله يستعتب;أبو هريرة;رواه أحمد والبخاري;صحيح
1714;دخل رسول الله صلى الله عليه وسلم على أبي سلمة وقد شق بصره فأغمضه، ثم قال: إن الروح إذا قبض تبعه البصر... وقال: اللهم اغفر لأبي سلمة وارفع درجته في المهديين;أم سلمة;رواه أحمد ومسلم وأبو داود وابن ماجه;صحيح
1715;"إذا حضرتم موتاكم فأغمضوا البصر؛ فإن البصر يتبع الروح، وقولوا خيراً؛ فإنه يؤمن على ما قال أهل البيت";شداد بن أوس;رواه أحمد وابن ماجه;صحيح بشواهده
1716;أن رسول الله صلى الله عليه وسلم قبل عثمان بن مظعون وهو ميت وهو يبكي - أو قال: وعيناه تذرفان;عائشة بنت أبي بكر;رواه أحمد والأربعة وصححه الترمذي;صحيح
1717;أن النبي صلى الله عليه وسلم قبل عثمان بن مظعون بعد موته حتى رأيت الدموع تسيل على وجهه;عبد الله بن عباس;رواه أحمد والدارقطني;صحيح
1718;أن أبا بكر الصديق قبل النبي صلى الله عليه وسلم بعد موته;عائشة بنت أبي بكر;رواه أحمد والبخاري والنسائي;صحيح
1719;أن النبي صلى الله عليه وسلم سجي في ثوب حبرة;عائشة بنت أبي بكر;متفق عليه;صحيح
1720;نفس المؤمن معلقة بدينه حتى يقضى عنه;أبو هريرة;رواه أحمد والشافعي والترمذي وحسنه;صحيح
1721;أسرعوا بالجنازة، فإن تك صالحة فخير تقدمونها إليه، وإن تك سوى ذلك فشر تضعونه عن رقابكم;أبو هريرة;رواه الجماعة;صحيح
1722;إذا مات أحدكم فلا تحبسوه وأسرعوا به إلى قبره;عبد الله بن عمر;رواه الطبراني والبهيقي;حسن بشواهده (وفيه كلام لكن يشهد له ما قبله)
1723;أن النبي صلى الله عليه وسلم كفن في ثلاثة أثواب بيض سحولية من كرسف، ليس فيها قميص ولا عمامة;عائشة بنت أبي بكر;متفق عليه;صحيح
1724;كفن رسول الله صلى الله عليه وسلم في ثلاثة أثواب يمانية بيض سحولية... (بمعناه);عبد الله بن عباس;رواه أحمد ومسلم;صحيح
1725;"البسوا من ثيابكم البياض؛ فإنها من خير ثيابكم، وكفنوا فيها موتاكم";عبد الله بن عباس;رواه أحمد والأربعة وصححه الترمذي;صحيح
1726;إذا كفن أحدكم أخاه فليحسن كفنه;جابر بن عبد الله;رواه أحمد ومسلم وأبو داود والنسائي;صحيح
1727;"لا تغالوا في الكفن؛ فإنه يسلب سريعاً";علي بن أبي طالب;رواه أبو داود;ضعيف (في إسناده أبو جحيفة عن علي وفيه انقطاع أو جهالة بعض الرواة)
1728;أن النبي صلى الله عليه وسلم غسل في قميصه;عائشة بنت أبي بكر (في قصة غسل النبي);رواه أحمد وأبو داود وابن ماجه وصححه الحاكم;صحيح
1729;دخل علينا رسول الله صلى الله عليه وسلم ونحن نغسل ابنته (زينب)، فقال: اغسلنها ثلاثاً أو خمساً أو أكثر من ذلك إن رأيتن ذلك، بماء وسدر، واجعلن في الآخرة كافوراً - أو شيئاً من كافور - فإذا فرغتن فآذنني...;أم عطية الأنصارية;رواه الجماعة;صحيح
1730;ابدأن بميامينها ومواضع الوضوء منها;أم عطية الأنصارية (زيادة في الغسل);متفق عليه;صحيح
1731;فمشطناها ثلاثة قرون;أم عطية الأنصارية (في تسريح شعر الميتة);رواه البخاري ومسلم;صحيح
1732;"أن النبي صلى الله عليه وسلم قال في المحرم الذي وقصته ناقته بعرفة: اغسلوه بماء وسدر وكفنوه في ثوبيه ولا تمسوه بطيب ولا تخمروا رأسه؛ فإنه يبعث يوم القيامة ملبياً";عبد الله بن عباس;رواه الجماعة;صحيح
1733;"ولا تغطوا وجهه ولا رأسه؛ فإنه يبعث يوم القيامة ملبياً";عبد الله بن عباس (رواية عدم تغطية الوجه);رواه مسلم;صحيح
1734;أمر رسول الله صلى الله عليه وسلم بفسخ الحج للمحرم الميت وغسله وتكفينه في ثوبيه;ابن عباس (بلفظ آخر صريح);رواه أحمد;صحيح
1735;أن النبي صلى الله عليه وسلم أمر بقتلى أحد أن يدفنوا بدمائهم ولم يغسلوا ولم يصل عليهم;جابر بن عبد الله (في شهداء أحد);رواه أحمد والبخاري والأربعة;صحيح
1736;أن النبي صلى الله عليه وسلم صلى على قتلى أحد بعد ثماني سنين كالمودع للأحياء والأموات;عقبة بن عامر;رواه أحمد والبخاري ومسلم;صحيح
1737;كان رسول الله صلى الله عليه وسلم يجمع بين الرجلين من قتلى أحد في الثوب الواحد ثم يقول: أيهم أكثر أخذاً للقرآن؟ فإذا أشير إلى أحدهما قدمه في اللحد;جابر بن عبد الله;رواه أحمد والبخاري والنسائي وترمذي;صحيح
1738;أن رجلاً مات من المسلمين ولم يترك مالاً، فقال النبي صلى الله عليه وسلم: صلوا على صاحبكم;أبو هريرة;متفق عليه;صحيح
1739;أن النبي صلى الله عليه وسلم صلى على قبر بعدما دفن فكبر عليه أربعاً;عبد الله بن عباس;متفق عليه;صحيح
1740;أن مسكينة ماتت فدفنها الناس ليلاً، فلما أصبح النبي صلى الله عليه وسلم أخبروه فقال: أفلا آذنتموني؟ قالوا: كان الليل فكرهنا أن نوقظك، فأتى قبرها فصلى عليها;أبو هريرة (قصة محقمة أو المرأة التي تقم المسجد);متفق عليه واللفظ للبخاري;صحيح
1741;أن النبي صلى الله عليه وسلم صلى على قبر بعد شهر;سعيد بن المسيب (مرسلاً);رواه أبو داود والبهيقي;صحيح مرسل (وله حكم الموصول من شواهد عقبة بن عامر)
1742;صلى رسول الله صلى الله عليه وسلم على قبر بعد ما دفن بثلاثة أيام;أنس بن مالك;رواه ابن ماجه والدارقطني;صحيح بشواهده
1743;نعى رسول الله صلى الله عليه وسلم النجاشي في اليوم الذي مات فيه، وخرج بهم إلى المصلى فصف بهم وكبر أربع تكبيرات;أبو هريرة (الصلاة على الغائب);رواه الجماعة;صحيح
1744;أن النبي صلى الله عليه وسلم صلى على النجاشي فكبر أربعاً;جابر بن عبد الله;متفق عليه;صحيح
1745;أن النبي صلى الله عليه وسلم كبر على جنازة أربعاً;عبد الله بن أبي أوفى;رواه أحمد والبخاري ومسلم;صحيح
1746;أن النبي صلى الله عليه وسلم كبر على جنازة خمساً;زيد بن أرقم;رواه أحمد ومسلم والأربعة;صحيح
1747;أن النبي صلى الله عليه وسلم كبر على جنازة سبعاً وتسعاً;عبد الله بن عباس (في تكبيرات الجنازة);رواه الدارقطني وأحمد بالمعنى;ضعيف (والمحفوظ الثابت أربع وخمس)
1748;كان رسول الله صلى الله عليه وسلم إذا صلى على الجنازة يقرأ بفاتحة الكتاب وسورة;طلحة بن عبد الله بن عوف عن ابن عباس;رواه البخاري والنسائي والترمذي وصححه;صحيح
1749;صليت خلف ابن عباس على جنازة فقرأ بفاتحة الكتاب وسورة وجهر حتى أسمعنا، فلما فرغ قلت له، فقال: إنما جهرت لتعلموا أنها سنة وحق;طلحة بن عبد الله (رواية الجهر بالفاتحة);رواه أحمد والبخاري;صحيح
1750;السنة في الصلاة على الجنازة أن يقرأ في التكبيرة الأولى بأم القرآن مخافتة، ثم يكبر ثلاثاً والتسليم في الآخرة;أبو أمامة بن سهل بن حنيف;رواه النسائي والشافعي بإسناد صحيح;صحيح موقوف لفظاً (له حكم الرفع لقوله السنة)
1751;صلى رسول الله صلى الله عليه وسلم على جنازة فحفظت من دعائه وهو يقول: اللهم اغفر له وارحمه وعافه واعف عنه وأكرم نزله ووسع مدخله واغسله بالماء والثلج والبرد...;عوف بن مالك الأشجعي;رواه أحمد ومسلم والنسائي وابن ماجه;صحيح
1752;إذا صليتم على الميت فأخلصوا له الدعاء;أبو هريرة;رواه أبو داود وابن ماجه وصححه ابن حبان;صحيح
1753;كان رسول الله صلى الله عليه وسلم إذا صلى على جنازة يقول: اللهم اغفر لحينا وميتنا وشاهدنا وغائبنا وصغيرنا وكبيرنا وذكرنا وأنثانا، اللهم من أحييته منا فأحيه على الإسلام...;أبو هريرة (الدعاء العام للجنازة);رواه أحمد والأربعة وصححه الترمذي;صحيح
1754;اللهم عبدك وابن أمتك احتاج إلى رحمتك وأنت غني عن عذابه، إن كان محسناً فزد في إحسانه وإن كان مسيئاً فتجاوز عنه;أبو هريرة (من دعائه على الميت);رواه مالك والحاكم وصححه;صحيح موقوف ومرفوع حكماً
1755;أن النبي صلى الله عليه وسلم صلى على جنازة فقال: اللهم إن فلان بن فلان في ذمتك وحبل جوارك فقه من فتنة القبر وعذاب النار وأنت أهل الوفاء والحق...;واثلة بن الأسقع;رواه أحمد وأبو داود وابن ماجه وصححه ابن حبان;صحيح
1756;كان ابن عمر إذا وضع الميت في القبر قال: بسم الله وعلى سنة رسول الله صلى الله عليه وسلم;عبد الله بن عمر;رواه أحمد والأربعة وصححه ابن حبان;صحيح
1757;أن النبي صلى الله عليه وسلم كان إذا وضع الميت في اللحد قال: بسم الله وفي سبيل الله وعلى ملة رسول الله صلى الله عليه وسلم;عبد الله بن عمر (رواية مرفوعة);رواه أحمد وأبو داود وابن ماجه;صحيح
1758;أن النبي صلى الله عليه وسلم حثا من قبل رأس الميت ثلاثاً في الدفن;أبو هريرة;رواه ابن ماجه والدارقطني;حسن بشواهده (له أسانيد يقوي بعضها بعضاً)
1759;"كان النبي صلى الله عليه وسلم إذا فرغ من دفن الميت وقف عليه فقال: استغفروا لأخيكم وسلوا له التثبيت؛ فإنه الآن يسأل";عثمان بن عفان;رواه أبو داود والحاكم وصححه;صحيح
1760;اللحد لنا والشق لغيرنا;عبد الله بن عباس;رواه أحمد وال خمسة إلا النسائي وصححه الترمذي;صحيح
1761;دخلت أنا وعلي والفضل فغسلنا رسول الله صلى الله عليه وسلم... ولحد له لحداً ونصب عليه اللبن نصباً;ابن عباس (في لحد النبي);رواه أحمد وابن ماجه;صحيح
1762;جعل في قبر رسول الله صلى الله عليه وسلم قطيفة حمراء;عبد الله بن عباس;رواه مسلم والترمذي والنسائي;صحيح
1763;نهى رسول الله صلى الله عليه وسلم أن يجصص القبر وأن يقعد عليه وأن يبنى عليه;جابر بن عبد الله;رواه أحمد ومسلم والترمذي والنسائي وصححه;صحيح
1764;وأن يكتب عليه;جابر بن عبد الله (زيادة النهي عن الكتابة);رواه أبو داود والترمذي وصححه;صحيح
1765;وأن يزاد عليه;جابر بن عبد الله (زيادة النهي عن الزيادة من غير ترابه);رواه مسلم وأبو داود;صحيح
1766;لأن يجلس أحدكم على جمرة فتلتهب حتى تخلص إلى ثوبه فتمحق جلده خير له من أن يجلس على قبر;أبو هريرة;رواه أحمد ومسلم والأربعة إلا الترمذي;صحيح
1767;لا تجلسوا على القبور ولا تصلوا إليها;أبو مرثد الغنوي;رواه الجماعة إلا البخاري وابن ماجه;صحيح
1768;لا تصلوا إلى القبور ولا تجلسوا عليها;أبو مرثد الغنوي (بلفظ تقديم الصلاة);رواه مسلم وأبو داود والنسائي;صحيح
1769;أن النبي صلى الله عليه وسلم أبصر رجلاً متكئاً على قبر فقال: لا تؤذ صاحب القبر;عمرو بن حزم;رواه أحمد بإسناد صحيح;صحيح
1770;لأن أمشي على جمرة أو سيف... أحب إلي من أن أمشي على قبر مسلم;عقبة بن عامر;رواه ابن ماجه بإسناد صحيح;صحيح
1771;نهى رسول الله صلى الله عليه وسلم عن تجصيص القبور والكتابة عليها والبناء عليها والمشي عليها;جابر بن عبد الله (جامع المنهيات);رواه أحمد والنسائي;صحيح
1772;رأيت رسول الله صلى الله عليه وسلم في مقبرة ورجل يمشي بين القبور في نعليه فقال: يا صاحب السبتيتين ألقهما;بشير بن الخصاصية;رواه أحمد والأربعة وصححه الحاكم;صحيح
1773;أن رسول الله صلى الله عليه وسلم حمل جنازة طفل وأمر بمشاة الجنازة أن يمشوا أمامها والركبان خلفها;المغيرة بن شعبة;رواه أحمد والأربعة وصححه الترمذي;صحيح
1774;الراكب يسير خلف الجنازة، والماشي حيث شاء منها خلفها وأمامها وعن يمينها وعن يسارها قريباً منها، والسقط يصلى عليه ويدعى لوالديه بالمغفرة والرحمة;المغيرة بن شعبة (تفصيل مواضع المشاة والراكب);رواه أحمد وأبو داود والنسائي وصححه ابن حبان;صحيح
1775;رأيت النبي صلى الله عليه وسلم وأبا بكر وعمر يمشون أمام الجنازة;عبد الله بن عمر;رواه أحمد والخمسة وصححه ابن حبان;صحيح
1776;أن النبي صلى الله عليه وسلم كان يمشي أمام الجنازة وأبو بكر وعمر وعثمان;عبد الله بن عمر (بزيادة عثمان);رواه النسائي وابن ماجه;صحيح
1777;أنه صلى مع النبي صلى الله عليه وسلم على جنازة امرأة ماتت في نفاسها فقام في وسطها;سمرة بن جندب;رواه الجماعة;صحيح
1778;صليت مع أنس بن مالك على جنازة رجل فقام حيال رأسه، فلما رفعت أتي بجنازة امرأة فقام حيال وسطها... فقال: هكذا كان رسول الله صلى الله عليه وسلم يقوم من الرجل ومن المرأة؟ قال: نعم;العلاء بن زياد عن أنس بن مالك;رواه أحمد وأبو داود وابن ماجه وصححه الترمذي;صحيح
1779;إذا رأيتم الجنازة فقوموا، فمن تبعها فلا يقعد حتى توضع;أبو سعيد الخدري;رواه الجماعة;صحيح
1780;إن الموت فزع، فإذا رأيتم الجنازة فقوموا;جابر بن عبد الله;رواه أحمد ومسلم والنسائي;صحيح
1781;مرت جنازة بالنبي صلى الله عليه وسلم فقام، فقيل له: إنها جنازة يهودي، فقال: أليست نفساً؟;قيس بن سعد وسهل بن حنيف;متفق عليه;صحيح
1782;مرت جنازة فقام رسول الله صلى الله عليه وسلم وقمنا معه، فقلنا: يا رسول الله إنها يهودية، قال: إن الموت فزع فإذا رأيتم الجنازة فقوموا;جابر بن عبد الله (بقصة اليهودية);رواه أحمد ومسلم والنسائي;صحيح
1783;أن النبي صلى الله عليه وسلم قام للجنازة ثم قعد بعد ذلك;علي بن أبي طالب (نسخ وجوب القيام أو بيان الجواز);رواه أحمد ومسلم والترمذي والنسائي;صحيح
1784;قام رسول الله صلى الله عليه وسلم للجنائز ثم جلس;علي بن أبي طالب (رواية الجلوس الصريحة);رواه أحمد والبخاري;صحيح
1785;ما من مسلم يموت فيقوم على جنازته أربعون رجلاً لا يشركون بالله شيئاً إلا شفعهم الله فيه;عبد الله بن عباس;رواه أحمد ومسلم وأبو داود;صحيح
1786;ما من ميت يصلي عليه أمة من المسلمين يبلغون مائة كلهم يشفعون له إلا شفعوا فيه;عائشة بنت أبي بكر;رواه أحمد ومسلم والترمذي والنسائي;صحيح
1787;من صلى على جنازة فله قيراط، ومن تبعها حتى تدفن فله قيراطان، والقيراط مثل جبل أحد;أبو هريرة;متفق عليه;صحيح
1788;من اتبع جنازة مسلم إيماناً واحتساباً وكان معه حتى يصلى عليها ويفرغ من دفنها فإنه يرجع من الأجر بقيراطين كل قيراط مثل أحد;أبو هريرة (بلفظ الإيمان والاحتساب);رواه أحمد والبخاري والنسائي;صحيح
1789;"أيها الناس زوروا القبور؛ فإنها تذكركم الآخرة";أبو هريرة;رواه أحمد ومسلم والنسائي وابن ماجه;صحيح
1790;"نهيتكم عن زيارة القبور فزوروها؛ فإنها تذكر الآخرة";بريدة بن الحصيب الأسلمي;رواه أحمد ومسلم وأبو داود والنسائي;صحيح
1791;لعن رسول الله صلى الله عليه وسلم زوّارات القبور والمتخذين عليها المساجد والسرج;عبد الله بن عباس;رواه أحمد والأربعة;حسن بشواهده 
1792;لعن رسول الله صلى الله عليه وسلم زوارات القبور;أبو هريرة;رواه أحمد والترمذي وصححه وابن ماجه;صحيح
1793;أن النبي صلى الله عليه وسلم لعن زوارات القبور;حسان بن ثابت;رواه أحمد وابن ماجه;صحيح بشواهده
1794;مر النبي صلى الله عليه وسلم بامرأة تبكي عند قبر فقال: اتقي الله واصبري، فقالت: إليك عني فإنك لم تصب بمصيبتي... فقيل لها: إنه النبي، فأتت بابه... فقال: إنما الصبر عند الصدمة الأولى;أنس بن مالك;متفق عليه;صحيح
1795;كيف أقول لهم يا رسول الله؟ (في زيارة المقابر) قال: قولي: السلام على أهل الديار من المؤمنين والمسلمين ويرحم الله المستقدمين منا والمستأخرين وإنا إن شاء الله بكم للاحقون;عائشة بنت أبي بكر;رواه أحمد ومسلم والنسائي;صحيح
1796;كان رسول الله صلى الله عليه وسلم يعلمهم إذا خرجوا إلى المقابر أن يقول قائلهم: السلام عليكم أهل الديار من المؤمنين والمسلمين وإنا إن شاء الله للاحقون، أسأل الله لنا ولكم العافية;بريدة بن الحصيب الأسلمي;رواه أحمد ومسلم وابن ماجه;صحيح
1797;"اصنعوا لآل جعفر طعاماً؛ فإنه قد أتاهم ما يشغلهم - أو أمر يشغلهم";عبد الله بن جعفر بن أبي طالب;رواه أحمد والخمسة إلا النسائي وصححه الترمذي;صحيح
1798;ليس منا من ضرب الخدود وشق الجيوب ودعا بدعوى الجاهلية;عبد الله بن مسعود;رواه الجماعة;صحيح
1799;برئ رسول الله صلى الله عليه وسلم من الصالقة والحالقة والشاقة;أبو موسى الأشعري;متفق عليه;صحيح
1800;أربع في أمتي من أمر الججاهلية لا يتركونهن: الفخر في الأحساب، والطعن في الأنساب، والاستسقاء بالنجوم، والنياحة... والنائحة إذا لم تتب قبل موتها تقام يوم القيامة وعليها سربال من قطران ودرع من جرب;أبو مالك الأشعري;رواه أحمد ومسلم;صحيح
1801;الميت يعذب في قبره بما نيح عليه;عبد الله بن عمر;متفق عليه;صحيح
1802;إن الميت يعذب ببكاء أهله عليه;عبد الله بن عمر (بلفظ البكاء);متفق عليه;صحيح 
